Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0;0;0;
0;0;0;
0.02;14.19859;53.65602;
0.02;14.19859;53.65602;
0.02;14.19859;53.65602;
0.04;2.714149;58.13322;
0.04;2.714149;58.13322;
0.04;2.714149;58.13322;
0.06;2.714149;58.13322;
0.06;2.714149;58.13322;
0.06;2.714149;58.13322;
0.08;2.714149;58.13322;
0.08;2.714149;58.13322;
0.08;2.714149;58.13322;
0.09999999;2.714149;58.13322;
0.09999999;2.714149;58.13322;
0.09999999;2.714149;58.13322;
0.12;2.714149;58.13322;
0.12;2.714149;58.13322;
0.12;2.714149;58.13322;
0.14;2.714149;58.13322;
0.14;2.714149;58.13322;
0.14;2.714149;58.13322;
0.16;2.714149;58.13322;
0.16;2.714149;58.13322;
0.16;2.714149;58.13322;
0.18;2.714149;58.13322;
0.18;2.714149;58.13322;
0.18;2.714149;58.13322;
0.2;2.714149;58.13322;
0.2;2.714149;58.13322;
0.2;2.714149;58.13322;
0.22;2.960667;58.27522;
0.22;2.960667;58.27522;
0.22;2.960667;58.27522;
0.24;2.960667;58.27522;
0.24;2.960667;58.27522;
0.24;2.960667;58.27522;
0.26;2.960667;58.27522;
0.26;2.960667;58.27522;
0.26;2.960667;58.27522;
0.28;2.960667;58.27522;
0.28;2.960667;58.27522;
0.28;2.960667;58.27522;
0.3;2.960667;58.27522;
0.3;2.960667;58.27522;
0.3;2.960667;58.27522;
0.32;2.960667;58.27522;
0.32;2.960667;58.27522;
0.32;2.960667;58.27522;
0.34;2.960667;58.27522;
0.34;2.960667;58.27522;
0.34;2.960667;58.27522;
0.36;4.143806;58.99472;
0.36;4.143806;58.99472;
0.36;4.143806;58.99472;
0.38;4.143806;58.99472;
0.38;4.143806;58.99472;
0.38;4.143806;58.99472;
0.4;4.682271;59.23026;
0.4;4.682271;59.23026;
0.4;4.682271;59.23026;
0.42;4.922393;59.30719;
0.42;4.922393;59.30719;
0.42;4.922393;59.30719;
0.44;5.357343;59.4294;
0.44;5.357343;59.4294;
0.44;5.357343;59.4294;
0.46;6.081975;59.57629;
0.46;6.081975;59.57629;
0.46;6.081975;59.57629;
0.48;6.219312;59.58934;
